Year	Directorate
1987	HRM
1988	HRM
1989	STI
1990	ECO
1991	ECO
1992	STD
1993	STD
1994	STD
1995	STD
1996	STD
1997	STD
1998	STD
1999	STD
2000	PAC
2001	PAC
2002	PAC
2003	PAC
2004	PAC
2005	PAC
2006	PAC
2007	PAC
2008	PAC
2009	PAC
2010	PAC
2011	PAC
2012	PAC
2013	PAC
2014	PAC
2015	PAC
2016	PAC
2017	PAC
2018	PAC
2019	PAC
2020	PAC
2021	PAC
2022	PAC
